trip_id,vehicle_id,driver_id,driver_name,trip_date,trip_month,trip_quarter,route_name,route_category,distance_km,fuel_consumed_l,fuel_efficiency_kml,fuel_cost_inr,road_difficulty,difficulty_tier,traffic_level,weather,delay_minutes,delivery_status,expected_duration_h,actual_duration_h,total_maint_cost_inr,maint_count,avg_downtime_h,toll_cost_inr,labour_cost_inr,total_trip_cost_inr,cost_per_km,driver_perf_score,safety_rating,experience_years,vehicle_type,fuel_type,year_mfg,base_km_per_l,capacity_kg,customer_location,avg_speed_kmph
T0001,V009,D019,Driver_19,2023-01-01 00:00:00,1,1,Route_Rural_X,Rural,281.4,93.54439999999995,3.008197176955543,5000.7,2.1,Easy,Very High,Hot,67,Major Delay,4.69,5.81,69521.94,3,20.133333333333333,0.0,880.0768040983904,29054.75680409839,103.25,44.76,3.5,10,Sedan,Diesel,2023,8.39,3652,North Zone,55.0
T0002,V006,D015,Driver_15,2023-01-01 16:00:00,1,1,Route_Highway_2,Highway,45.8,4.69,9.765458422174838,438.99,4.7,Moderate,Medium,Fog,27,Minor Delay,0.76,1.21,19346.64,1,29.0,117.26622052902101,361.20736288712516,20264.103583416145,442.45,72.05,4.1,7,Van,Diesel,2016,10.74,7599,Central,54.8
T0003,V016,D025,Driver_25,2023-01-02 08:00:00,1,1,Route_City_B,City,134.4,9.51,14.13249211356467,816.26,5.4,Moderate,High,Fog,0,On Time,2.24,2.24,35493.38,2,22.25,0.0,606.884415550481,19169.83441555048,142.63,92.0,5.0,5,Van,Petrol,2019,16.2,8489,South Zone,88.0
T0004,V003,D023,Driver_23,2023-01-03 00:00:00,1,1,Route_City_B,City,289.1,47.78,6.050648807032231,4558.05,4.6,Moderate,Medium,Rain,0,On Time,4.82,4.82,46267.04,3,3.8333333333333335,0.0,1420.1952966391204,21400.591963305786,74.02,73.7,5.0,17,Sedan,Diesel,2023,7.98,7541,East Zone,85.3
T0005,V020,D023,Driver_23,2023-01-03 16:00:00,1,1,Route_City_A,City,45.6,3.23,14.11764705882353,322.63,5.8,Moderate,Low,Clear,24,Minor Delay,0.76,1.16,18395.2,1,26.0,0.0,205.34362578881797,18923.17362578882,414.98,86.22,5.0,17,SUV,Diesel,2021,14.03,4797,North Zone,51.5
T0006,V004,D016,Driver_16,2023-01-04 08:00:00,1,1,Route_Mixed,Mixed,241.2,47.21,5.109087057826732,4565.18,6.4,Hard,Medium,Hot,19,Minor Delay,4.02,4.34,17174.29,1,6.7,787.6889489483128,896.3041289818524,23423.463077930166,97.11,62.22,3.8,9,Bus,Petrol,2017,6.19,6735,Central,94.0
T0007,V019,D011,Driver_11,2023-01-05 00:00:00,1,1,Route_Rural_X,Rural,151.4,17.13,8.838295388207824,1807.32,1.1,Easy,Medium,Rain,30,Major Delay,2.52,3.02,68962.6,4,20.1,0.0,541.7816817909383,19589.751681790938,129.39,66.83,3.5,3,Truck,Petrol,2021,10.45,661,West Zone,96.7
T0008,V003,D022,Driver_22,2023-01-05 16:00:00,1,1,Route_Highway_2,Highway,255.9,34.25,7.471532846715329,3487.97,5.2,Moderate,Low,Rain,0,On Time,4.26,4.26,46267.04,3,3.8333333333333335,435.21604263212413,911.5757043989697,20257.10841369776,79.16,70.12,3.3,7,Sedan,Diesel,2023,7.98,7541,Central,52.9
T0009,V019,D016,Driver_16,2023-01-06 08:00:00,1,1,Route_Highway_1,Highway,37.4,4.1,9.121951219512196,425.59,9.7,Hard,Medium,Clear,13,Minor Delay,0.62,0.84,68962.6,4,20.1,128.61662945731408,164.41383532386513,17959.27046478118,480.19,72.74,3.8,9,Truck,Petrol,2021,10.45,661,South Zone,54.8
T0010,V020,D008,Driver_8,2023-01-07 00:00:00,1,1,Route_City_B,City,351.2,26.23,13.389248951582157,2662.87,5.7,Moderate,Medium,Clear,13,Minor Delay,5.85,6.07,18395.2,1,26.0,0.0,1342.2544375527345,22400.324437552736,63.78,83.6,4.1,5,SUV,Diesel,2021,14.03,4797,South Zone,65.4
